"X","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
6579,10631,-5.20183701669598,6.203807741372,17.2920175561395,3.20530522446249e-05,0.00478940080644685,"POSTN"
6591,10644,-5.87673811814082,6.88301606153263,29.6411218547693,5.19902049526482e-08,2.13913321537055e-05,"IGF2BP2"
6607,10661,-8.05958651428217,4.39262601147216,42.0840730635887,8.74323996543815e-11,9.54694548533804e-08,"KLF1"
6664,10740,9.82604133088667,4.71169333233785,12.8833365313381,0.00033152067700197,0.0279721404199453,"RFPL1S"
6739,10840,9.67004697036667,4.6921855207996,12.7329465972557,0.000359270060088937,0.0291245703844221,"ALDH1L1"
6818,10928,-4.08873841689691,7.86136726036121,15.0780226435231,0.000103157333021248,0.0116215741447351,"RALBP1"
6912,1104,-3.40971611061593,3.57063635246449,12.4780954591823,0.000411751781179827,0.0322363986352731,"RCC1"
7006,11144,-8.12837338027692,1.75568146129173,17.3059147923131,3.18194878508001e-05,0.00477965746076305,"DMC1"
7091,11235,-3.28581173389182,5.04687926005129,12.5102355911873,0.000404728565048446,0.0319824302413892,"PDCD10"
7098,11240,9.47671971993699,5.87172134044123,12.3661099072422,0.00043719758339863,0.034099009320569,"PADI2"
7232,11345,-3.86297725892625,8.30669713590554,12.6793212685292,0.000369721754200379,0.0296508491574824,"GABARAPL2"
7258,114,5.27536123906704,5.02393981741992,11.7752843044315,0.000600223447162048,0.0419712898150998,"ADCY8"
7290,114625,-4.03815273911086,4.78972068763798,16.2157996805729,5.65207518802192e-05,0.00736066121963038,"ERMAP"
7381,115294,-3.47418890569743,6.44191623226964,13.6447634201677,0.000220856415152186,0.0207727490370534,"PCMTD1"
7383,115330,-4.80131595168617,4.3162808556952,20.7454128178579,5.24570849213924e-06,0.00104877228233685,"GPR146"
7403,115701,-5.94676023670292,2.45058516363585,15.7303882264121,7.30412669013225e-05,0.00878661681071418,"ALPK2"
7442,116151,-7.37013613998166,8.76122223031608,35.3478635140687,2.75770910087942e-09,1.90954539936504e-06,"FAM210B"
7535,117581,-7.09506126823246,3.64845871631771,30.9779408582744,2.60977792037358e-08,1.19502572837751e-05,"TWIST2"
7590,1193,-5.48947405887215,3.90035259899018,26.4040567066374,2.7695819488234e-07,8.83465522776363e-05,"CLIC2"
7637,120425,-8.23494058486187,1.80247802993807,18.1142977117169,2.08033470408367e-05,0.00331801698027726,"JAML"
7746,123606,9.86353699175267,4.92072514331733,16.5029609520321,4.85741589274047e-05,0.0065981835978422,"NIPA1"
7755,123803,-3.57005406513403,3.60630030759131,12.2294357934463,0.000470414213907782,0.03590069766893,"NTAN1"
7898,1264,-8.12836140466693,1.89511297218428,15.5196176248614,8.16534432438096e-05,0.00962892412253305,"CNN1"
7903,1265,-4.24809282091833,4.81705518174897,19.0919605922875,1.24568516507758e-05,0.00221031261478453,"CNN2"
7973,1277,-5.73084254081033,10.7973619131901,14.7537684685399,0.00012250243918967,0.0130330613546819,"COL1A1"
7980,1278,-5.44660077775331,9.17830960240401,16.0174546468526,6.27611930318303e-05,0.00788402774413125,"COL1A2"
7992,1281,-5.26990896340673,9.27701129162186,14.7623805281672,0.000121944190809878,0.0130330613546819,"COL3A1"
8049,1289,-4.91139537249068,6.68387779033419,18.0556031177117,2.14546302380187e-05,0.00340277627071145,"COL5A1"
8052,128989,-3.40566291843376,5.35669447427591,14.1951601702336,0.000164793831981739,0.0167089174641484,"TANGO2"
8053,1290,-4.4568871688709,5.99875851291512,13.2033646758889,0.000279446972088958,0.0250268124214686,"COL5A2"
8104,1303,-4.28947987486721,7.59368927658624,16.5402129886171,4.76291752952499e-05,0.00653758731125247,"COL12A1"
8114,130540,-5.93960337074836,4.84902354449294,29.1455925754523,6.71382995554225e-08,2.64730045052562e-05,"FLACC1"
8168,131873,-5.3711714476033,4.02250048859431,25.2368411813028,5.07043280957799e-07,0.000149947486941583,"COL6A6"
8209,133,-4.66942761652356,5.19008568663315,13.8514612191498,0.000197842836047996,0.0193681314324228,"ADM"
