"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"75","100033808",2.67010921537733,4.28086625763231,3.15152957233328,0.0758558265250524,0.554751910109798,"SNORD115-34"
"76","100033809",-0.588109138694003,1.04475872882207,0.103983497258926,0.747100658934034,1,"SNORD115-35"
"77","100033810",1.78330741225595,2.38580314449999,1.03340079974154,0.309361253899871,0.949933877098568,"SNORD115-36"
"78","100033811",3.47035859654571,0.0731728086727118,2.43951573299698e-07,0.999605913229816,1,"SNORD115-37"
"79","100033812",3.0477888669554,2.56997855328916,2.81948229354504,0.0931264357946873,0.605556461798253,"SNORD115-38"
"80","100033813",8.49618489849044,3.438257168289,8.55237500842393,0.00345071726265501,0.124322161277634,"SNORD115-39"
"81","100033814",7.82195409370421,2.70730629195176,0.465553195222933,0.495040051481689,1,"SNORD115-40"
"82","100033815",0.560805949003429,2.63864535627782,0.160468929541553,0.688725151337118,1,"SNORD115-41"
"83","100033816",1.83179308193384,3.85875835781899,1.70607073693453,0.191495966957722,0.800083959077224,"SNORD115-42"
"84","100033817",0.345813750882914,2.63599936733446,0.921235399918873,0.33715080554614,0.97413992436412,"SNORD115-43"
"85","100033818",2.00375040938171,2.58898097819124,1.50043578977729,0.220604320722842,0.840891066772488,"SNORD115-44"
"86","100033819",0,-0.399843666772083,0,1,1,"MIR675"
"87","100033820",2.27530211812765,-0.212266437149907,0.2723485576746,0.601760673374995,1,"SNORD116-28"
"88","100033821",0.812200687492006,2.55297656658324,0.257228461096962,0.61203066486714,1,"SNORD116-29"
"89","100033822",3.74344737972273,0.16675849887897,1.88415004359745e-07,0.999653663877638,1,"SNORD115-48"
"90","100034743",5.05385367015872,0.870471659881452,1.79116493211539,0.180784291973291,0.782053113152689,"PDZK1P1"
"91","100036563",0,-0.399843666772083,0,1,1,"SNORD115-24"
"92","100036564",0,-0.399843666772083,0,1,1,"SNORD115-27"
"93","100036565",0,-0.399843666772083,0,1,1,"SNORD115-28"
